Completeness:,80.77%
Generalization:,3
Correctness:    ,      Precision: 0.97           Recall: 0.72           F-Score: nil
Completeness of Sketch Map:,,,ID: sketchmap
Spatial Features,Features in Base map,Drawn Features,Completeness (%)
Street segments,31,31,100
Landmarks,13,8,61.54
Missing Features / Extra Features,5,0,0
Overall Completeness:,,,80.77
Generalization :
Type,Count
Streets
Omission Merge,0
Omission Merge (Multi-Multi),0
Abstraction to show existence,0
Junctions
Junction Merge,0
Roundabout Collapse,0
Buildings
Collapse,1
Amalgamation,1
Abstraction to show existence,1
Correctness of sketch map:
Considered Qulitative Spatial Aspects,Relations in Base Map,Relation in Sketch Map,Correct Relations,Wrong Relations,Missing Relations,Accuracy Rate (%)
Topological Relations between Landmarks and Regions,78,28,28,0,50,100
Linear Ordering of Landmarks along Street-segments,78,21,20,1,57,95.24
Left-Right Relations of Landmarks wrt. Street-segments,41,17,16,0,25,94.12
Topological Relations between Street-segments and Regions/Landmarks,403,248,248,0,155,100
Connectivity of Street-segments,465,465,465,0,0,100
Relative Orientation of Connected Street-segments,51,51,32,19,0,62.75